authority_id,authority_name_he,authority_name_en,district,population,socioeconomic_cluster,year,total_waste_tons,kg_per_capita_day,pct_recycled,pct_landfilled,pct_other_recovery,reported,source_url,source_name
,מגילות ים המלח,Megilot,,2243.0,,2023,2357.7844179309836,2.8780054964567676,3.892824858496889,96.1071751415031,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
3797,מודיעין עילית,Modi'in Illit,,83133.0,,2023,30719.037887358558,0.9852582811790869,28.062745711531846,71.93725428846815,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
1200,מודיעין-מכבים-רעות,Modi'in-Makkabbim-Re'ut,,92307.0,,2023,54194.05669214201,1.509402119080434,19.011414389349312,80.98858561065069,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
28,מזכרת בתיה,Mazkeret Batya,,15858.0,,2023,9120.598269874617,1.5564931148255832,20.648683498045433,79.35131650195457,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
517,מזרעה,Mazra'a,,3772.0,,2023,2426.89,1.6645421701414786,0.43924528923849043,99.56075471076151,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
,מטה אשר,Matte Asher,,30980.0,,2023,23856.540399650785,2.057201726597029,33.31522620843686,66.68477379156315,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
,מטה בנימין,Mate Binyamin,,76014.0,,2023,42584.29911744588,1.5101650700338698,4.219844296344645,95.78015570365535,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
,מטה יהודה,Matte Yehuda,,59780.0,,2023,43955.23917585386,2.1372089518618296,26.23786231651149,73.76213768348852,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
43,מטולה,Metula,,1873.0,,2023,1163.51036166725,1.638077914186107,11.802246562761768,88.19775343723823,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
1268,מיתר,Metar,,11207.0,,2023,,,,,,False,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
